Timestamp,Temperature (C),Relative humidity (%),Pressure (Pa)
2016-04-12 08:15:33, 24.6, 42.0, 0.0
2016-04-12 08:20:33, 24.0, 42.7, 0.0
2016-04-12 08:25:33, 23.7, 43.6, 0.0
2016-04-12 08:30:33, 23.5, 43.7, 0.0
2016-04-12 08:35:33, 23.5, 43.9, 0.0
2016-04-12 08:40:33, 23.4, 44.1, 0.0
2016-04-12 08:45:33, 23.5, 44.0, 0.0
2016-04-12 08:50:33, 23.5, 44.1, 0.0
2016-04-12 08:55:33, 23.5, 44.1, 0.0
2016-04-12 09:00:33, 23.5, 44.2, 0.0
2016-04-12 09:05:33, 23.5, 44.1, 0.0
2016-04-12 09:10:33, 23.5, 44.1, 0.0
2016-04-12 09:15:33, 23.5, 44.0, 0.0
2016-04-12 09:20:33, 23.5, 44.0, 0.0
2016-04-12 09:25:33, 23.6, 43.9, 0.0
2016-04-12 09:30:33, 23.6, 44.2, 0.0
2016-04-12 09:35:33, 23.6, 44.4, 0.0
2016-04-12 09:40:33, 23.6, 44.5, 0.0
2016-04-12 09:45:33, 23.6, 44.9, 0.0
2016-04-12 09:50:33, 23.7, 45.2, 0.0
2016-04-12 09:55:33, 23.7, 45.4, 0.0
2016-04-12 10:00:33, 23.7, 45.8, 0.0
2016-04-12 10:05:33, 23.7, 46.0, 0.0
2016-04-12 10:10:33, 23.8, 46.2, 0.0
2016-04-12 10:15:33, 23.8, 46.6, 0.0
2016-04-12 10:20:33, 23.7, 46.8, 0.0
2016-04-12 10:25:33, 23.7, 47.1, 0.0
2016-04-12 10:30:33, 23.7, 47.4, 0.0
2016-04-12 10:35:33, 23.6, 47.9, 0.0
2016-04-12 10:40:33, 23.6, 48.1, 0.0
2016-04-12 10:45:33, 23.5, 48.6, 0.0
2016-04-12 10:50:33, 23.4, 49.1, 0.0
2016-04-12 10:55:33, 23.4, 49.5, 0.0
2016-04-12 11:00:33, 23.3, 49.9, 0.0
2016-04-12 11:05:33, 23.3, 50.2, 0.0
2016-04-12 11:10:33, 23.3, 50.4, 0.0
2016-04-12 11:15:33, 23.3, 50.4, 0.0
2016-04-12 11:20:33, 23.2, 50.6, 0.0
2016-04-12 11:25:33, 23.2, 50.7, 0.0
2016-04-12 11:30:33, 23.2, 50.9, 0.0
2016-04-12 11:35:33, 23.2, 51.0, 0.0
2016-04-12 11:40:33, 23.2, 51.1, 0.0
2016-04-12 11:45:33, 23.1, 51.3, 0.0
2016-04-12 11:50:33, 23.1, 51.5, 0.0
2016-04-12 11:55:33, 23.1, 51.7, 0.0
2016-04-12 12:00:33, 23.1, 51.8, 0.0
2016-04-12 12:05:33, 23.1, 51.9, 0.0
2016-04-12 12:10:33, 23.2, 51.9, 0.0
2016-04-12 12:15:33, 23.2, 52.0, 0.0
2016-04-12 12:20:33, 23.3, 52.0, 0.0
2016-04-12 12:25:33, 23.3, 51.9, 0.0
2016-04-12 12:30:33, 23.3, 51.9, 0.0
2016-04-12 12:35:33, 23.3, 52.0, 0.0
2016-04-12 12:40:33, 23.3, 52.3, 0.0
2016-04-12 12:45:33, 23.3, 52.3, 0.0
2016-04-12 12:50:33, 23.3, 52.2, 0.0
2016-04-12 12:55:33, 23.3, 52.3, 0.0
2016-04-12 13:00:33, 23.3, 52.3, 0.0
2016-04-12 13:05:33, 23.3, 52.6, 0.0
2016-04-12 13:10:33, 23.4, 52.4, 0.0
2016-04-12 13:15:33, 23.4, 52.5, 0.0
2016-04-12 13:20:33, 23.5, 52.5, 0.0
2016-04-12 13:25:33, 23.5, 52.1, 0.0
2016-04-12 13:30:33, 23.5, 50.2, 0.0
2016-04-12 13:35:33, 23.4, 48.9, 0.0
2016-04-12 13:40:33, 23.4, 48.1, 0.0
2016-04-12 13:45:33, 23.3, 47.4, 0.0
2016-04-12 13:50:33, 23.2, 46.8, 0.0
2016-04-12 13:55:33, 23.2, 46.5, 0.0
2016-04-12 14:00:33, 23.1, 46.1, 0.0
2016-04-12 14:05:33, 23.1, 46.1, 0.0
2016-04-12 14:10:33, 23.1, 45.7, 0.0
2016-04-12 14:15:33, 23.1, 45.6, 0.0
2016-04-12 14:20:33, 23.0, 45.1, 0.0
2016-04-12 14:25:33, 23.0, 44.7, 0.0
2016-04-12 14:30:34, 23.0, 44.8, 0.0
2016-04-12 14:35:34, 23.0, 44.2, 0.0
2016-04-12 14:40:35, 23.0, 44.2, 0.0
2016-04-12 14:45:35, 23.1, 43.7, 0.0
2016-04-12 14:50:36, 23.1, 43.7, 0.0
2016-04-12 14:55:36, 23.1, 43.2, 0.0
2016-04-12 15:00:36, 23.1, 43.2, 0.0
2016-04-12 15:05:36, 23.1, 43.2, 0.0
2016-04-12 15:10:36, 23.2, 43.0, 0.0
2016-04-12 15:15:36, 23.2, 43.0, 0.0
2016-04-12 15:20:36, 23.2, 43.3, 0.0
2016-04-12 15:25:36, 23.2, 43.1, 0.0
2016-04-12 15:30:36, 23.2, 43.1, 0.0
2016-04-12 15:35:36, 23.2, 43.0, 0.0
2016-04-12 15:40:36, 23.2, 43.2, 0.0
2016-04-12 15:45:36, 23.1, 43.0, 0.0
2016-04-12 15:50:36, 23.1, 42.9, 0.0
2016-04-12 15:55:36, 23.1, 42.9, 0.0
2016-04-12 16:00:36, 23.1, 42.7, 0.0
2016-04-12 16:05:36, 23.1, 42.6, 0.0
2016-04-12 16:10:36, 23.1, 42.6, 0.0
2016-04-12 16:15:36, 23.1, 42.5, 0.0
2016-04-12 16:20:36, 23.1, 42.3, 0.0
2016-04-12 16:25:36, 23.1, 42.0, 0.0
2016-04-12 16:30:36, 23.1, 42.1, 0.0
2016-04-12 16:35:36, 23.1, 41.8, 0.0
2016-04-12 16:40:36, 23.1, 41.4, 0.0
2016-04-12 16:45:36, 23.1, 41.1, 0.0
2016-04-12 16:50:36, 23.0, 41.1, 0.0
2016-04-12 16:55:36, 23.0, 41.0, 0.0
